iter	Passed	Remaining
712	2018	812
713	2021	809
714	2025	807
715	2028	804
716	2032	802
717	2035	799
718	2039	797
719	2042	794
720	2046	791
721	2049	789
722	2054	787
723	2058	784
724	2062	782
725	2066	779
726	2070	777
727	2073	774
728	2077	772
729	2081	769
730	2085	767
731	2088	764
732	2092	762
733	2096	759
734	2100	757
735	2104	754
736	2108	752
737	2111	749
738	2116	747
739	2119	744
740	2123	742
741	2127	739
742	2131	737
743	2134	734
744	2138	731
745	2141	729
746	2145	726
747	2149	724
748	2152	721
749	2156	718
750	2159	715
751	2163	713
752	2167	711
753	2172	708
754	2176	706
755	2180	703
756	2184	701
757	2189	698
758	2194	696
759	2197	693
760	2203	691
761	2206	689
762	2210	686
763	2214	684
764	2218	681
765	2222	678
766	2225	676
767	2230	673
768	2234	671
769	2237	668
770	2240	665
771	2243	662
772	2245	659
773	2248	656
774	2251	653
775	2254	650
776	2257	647
777	2260	645
778	2263	642
779	2266	639
780	2270	636
781	2273	633
782	2276	630
783	2278	627
784	2282	625
785	2285	622
786	2288	619
787	2291	616
788	2295	613
789	2298	610
790	2301	608
791	2304	605
792	2307	602
793	2310	599
794	2314	596
795	2317	594
796	2320	591
797	2323	588
798	2326	585
799	2329	582
800	2332	579
801	2335	576
802	2338	573
803	2342	571
804	2345	568
805	2348	565
806	2351	562
807	2353	559
808	2357	556
809	2359	553
810	2362	550
811	2365	547
812	2368	544
813	2371	541
814	2374	539
815	2377	536
816	2381	533
817	2383	530
818	2387	527
819	2390	524
820	2393	521
821	2396	518
822	2398	515
823	2401	513
824	2404	510
825	2407	507
826	2410	504
827	2414	501
828	2417	498
829	2420	495
830	2422	492
831	2425	489
832	2428	486
833	2431	483
834	2433	480
835	2436	477
836	2438	474
837	2441	471
838	2443	468
839	2445	465
840	2448	462
841	2450	459
842	2453	456
843	2455	453
844	2458	450
845	2461	448
846	2463	445
847	2465	442
848	2468	439
849	2470	436
850	2473	433
851	2475	430
852	2478	427
853	2481	424
854	2483	421
855	2486	418
856	2488	415
857	2490	412
858	2493	409
859	2495	406
860	2498	403
861	2500	400
862	2502	397
863	2505	394
864	2507	391
865	2510	388
866	2512	385
867	2515	382
868	2517	379
869	2519	376
870	2522	373
871	2524	370
872	2527	367
873	2529	364
874	2531	361
875	2534	358
876	2536	355
877	2539	352
878	2541	349
879	2544	346
880	2546	343
881	2548	340
882	2551	338
883	2553	335
884	2556	332
885	2558	329
886	2560	326
